material_row,areal_density_gcm2,thickness_cm,shield_density_gcm3,energy_MeV,n_primaries,mean_edep_lead_MeV,composition
0,3.5,3.8674,0.905,100,1000,65.8982,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.5,3.8674,0.905,110,1000,77.2366,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.5,3.8674,0.905,125,1000,94.6855,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.5,3.8674,0.905,140,1000,111.339,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.5,3.8674,0.905,150,1000,121.073,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.5,3.8674,0.905,175,1000,146.292,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.5,3.8674,0.905,200,1000,166.617,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,5,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,10,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,15,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,20,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,25,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,30,1000,0.00234587,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,40,1000,0.00539254,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,50,1000,0.0384749,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,60,1000,0.0250388,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,75,1000,16.024,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,90,1000,45.6889,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,100,1000,60.7526,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,110,1000,73.9228,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,125,1000,90.9323,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,140,1000,105.965,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,150,1000,117.617,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,175,1000,142.656,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.0,4.41989,0.905,200,1000,164.386,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.5,4.97238,0.905,5,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.5,4.97238,0.905,10,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.5,4.97238,0.905,15,1000,0.00452169,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.5,4.97238,0.905,20,1000,0.00462262,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.5,4.97238,0.905,25,1000,0.00256095,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.5,4.97238,0.905,30,1000,0.0189882,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,4.5,4.97238,0.905,40,1000,0.00549533,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
